"BILL OF MATERIAL WITH BETA STOCK, GROUPED BY VALUES, AS OF 09.10.2015"
"Part","Value","Device","Package","Description","Description2","Qty","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3"
"C1, C2, C3, C4, C5, C6","0.1uF","CAP0603-CAP","0603-CAP","Capacitor"," ","6","YES","NO","Mouser","581-06033C104JAT2A","http://www.mouser.de/ProductDetail/AVX/06033C104JAT2A/?qs=9m8RHjAONzC2EgWOJLFcaw=="," ","0.292","1.752"," "," "," "," "
"IC1, IC2, IC3","MPR121","MPR121V2","QFN-20-0.4MM-V2","MPR121 Capacitive Touch Sensor Controller. Variant V2"" was created using an image import of the bottom of the IC. It matches metal to metal."""," ","3","YES","YES","-"," "," "," "," "," "," "," "," "," "
"JP1, JP2, JP4, JP5"," ","PINHD-1X14","1X14","PIN HEADER"," ","4","NO","NO","-","-","-"," ","-","-"," "," "," "," "
"R1, R9, R12","75k","RESISTOR0603-RES","0603-RES","Resistor"," ","3","YES","NO","Mouser","603-RT0603FRE0775KL","http://www.mouser.de/ProductDetail/Yageo/RT0603FRE0775KL/?qs=%2ff7pOCXLR5eTzVWqRTYgyA=="," ","0.179","0.537"," "," "," "," "
"R2, R3, R4, R5, R6, R7, R8, R10, R11","10k","RESISTOR0603-RES","0603-RES","Resistor"," ","9","YES","NO","Mouser","652-CRT0603BY1002EAS","http://www.mouser.de/ProductDetail/Bourns/CRT0603-BY-1002EAS/?qs=EvbCu83THBCh1lt9vIhMzA=="," ","0.521","4.689"," "," "," "," "
"SJ1, SJ2, SJ3","SOLDERJUMPERTRACE","SOLDERJUMPERTRACE","SJ_2S-TRACE","Solder Jumper"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"U$1, U$2","AXE640124","AXE640124","AXE640124","Board to Board & Mezzanine Connectors 0.4MM FPC TO BOARD 40P HDR 0.8 HGHT"," ","2","YES","NO","Mouser","798-BM10B0840DP04V51","http://www.mouser.de/ProductDetail/Hirose-Connector/BM10B08-40DP-04V51/?qs=Z1vyy6eg2vSdmIof9pjdvw=="," ","0.952","1.904"," "," "," "," "
"U$3, U$40PIN-BACK","AXE540127","AXE540127","AXE540127","Board to Board & Mezzanine Connectors 0.4MM FPC TO BOARD 40P RECP 0.8 HGHT"," ","2","YES","NO","Mouser","798-BM10NB0840DS4V51","http://www.mouser.de/ProductDetail/Hirose-Connector/BM10NB08-40DS-04V51/?qs=Z1vyy6eg2vRBhyC2YsdULQ=="," ","1.2","2.4"," "," "," "," "
"U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12, U$13, U$14, U$15, U$25, U$26, U$27, U$28, U$29, U$30, U$31, U$32, U$33, U$34, U$35, U$36, U$37, U$38, U$39, U$40, U$41, U$42, U$43, U$44, U$45, U$46, U$47, U$48, U$49, U$50, U$51","SINGLE_LÖT_SPOT_K","SINGLE_LÖT_SPOT_K","SINGLE_LÖT_SPOT_K"," "," ","39"," "," "," "," "," "," "," "," "," "," "," "," "
"X1, X2, X3, X5","FH12-50S-0.5SH","FH12-50S-0.5SH","FH12-50S-0.5SH","0.5mm Pitch Connectors For FPC/FFC"," ","4","YES","NO","Mouser","798-FH12-50S-0.5SH55","http://www.mouser.de/ProductDetail/Hirose-Connector/FH12-50S-05SH55/?qs=Ux3WWAnHpjBIQBSw0Cd5Gw=="," ","3.29","13.16"," "," "," "," "
